	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	2,697e+004	8,274e+004	224,8	343,4	118,6	131,3	311,4	146,2	9,893	81,86	136,3	139,1	12,17	368,1	70,51	0,6190	6,960e+004	1,051e+004	-1,009e+004	6162	-4075	10,75	113,5	318,8	122,2	3,416e+004	7195	0,7894	14,64
2	2,892e+004	8,988e+004	241,2	356,1	114,9	122,8	335,5	143,3	9,613	80,06	133,7	136,3	12,62	372,7	73,13	0,5649	6,034e+004	1,034e+004	-9743	6241	-5326	9,640	110,4	329,8	116,6	3,535e+004	6438	0,8179	14,87
3	2,746e+004	8,923e+004	240,9	340,9	100,0	103,9	318,7	139,4	9,654	75,99	129,7	133,7	12,08	370,4	77,28	0,5551	6,383e+004	9962	-1,046e+004	5723	-5381	10,72	102,7	311,8	100,0	3,219e+004	4723	0,8533	15,28
4	2,195e+004	7,355e+004	197,4	285,5	88,15	94,34	277,1	135,1	8,341	70,27	126,7	128,5	12,12	372,7	75,04	0,6511	3,797e+004	9401	-1,056e+004	3778	-3591	8,745	110,1	263,0	88,78	2,482e+004	2865	0,8846	14,64
5	1,553e+004	5,121e+004	137,4	214,7	77,31	84,48	207,1	130,0	7,015	64,73	123,0	122,1	11,08	372,7	64,12	0,8887	7,946e+004	8711	-1,215e+004	1730	-3266	7,794	102,5	214,3	79,39	1,728e+004	1748	0,8988	15,79
6	1,043e+004	3,923e+004	105,9	175,2	69,25	77,65	148,1	121,6	6,482	57,47	115,1	113,0	9,422	370,4	60,76	1,067	9,830e+004	7548	-1,039e+004	1700	-3171	49,52	98,13	174,3	72,76	1,158e+004	1154	0,9004	16,75
7	7640	3,303e+004	93,60	159,0	65,42	71,37	114,0	112,7	6,912	50,32	105,8	105,3	8,287	352,9	62,04	1,126	1,216e+005	6570	-9182	2303	-3239	23,66	88,62	150,9	67,63	8556	915,9	0,8930	17,28
8	5751	2,752e+004	74,77	139,4	64,62	67,01	108,2	102,5	7,794	46,96	94,67	97,89	12,52	368,1	55,94	1,309	6,773e+004	5299	-7364	2465	-2767	16,16	75,19	133,7	64,91	6644	892,4	0,8657	18,80
9	4802	2,394e+004	64,25	124,5	60,22	64,05	106,6	96,24	8,170	44,26	88,07	89,88	13,68	372,7	52,34	1,399	4,491e+004	4656	-6468	2500	-2397	13,33	66,88	122,8	60,82	5520	718,3	0,8699	19,53
10	3812	2,185e+004	58,26	117,9	59,64	65,25	96,77	89,59	8,013	40,90	81,57	82,27	13,67	375,0	50,55	1,412	4,496e+004	4007	-5921	2614	-1797	13,67	63,14	115,3	60,99	4547	735,2	0,8383	20,14
11	3829	2,345e+004	63,30	120,8	57,46	66,14	93,84	87,34	8,341	39,73	79,00	82,37	13,20	370,4	54,27	1,301	4,858e+004	4013	-5483	2087	-2242	14,80	55,96	116,6	60,19	4448	618,9	0,8609	20,78
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	2816	1,954e+004	52,42	110,5	58,09	60,80	91,71	80,67	8,396	36,79	72,28	73,98	13,53	372,7	50,54	1,411	5,890e+004	3610	-4991	2102	-1988	12,98	47,80	103,7	58,12	3475	658,6	0,8105	23,07
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	1,333e+004	4,793e+004	129,5	207,3	77,81	84,10	184,1	115,4	8,219	57,45	107,2	108,7	12,03	369,9	62,21	1,025	6,635e+004	7052	-8568	3284	-3270	15,98	86,24	196,2	79,37	1,571e+004	2388	0,8569	17,63
Min	2816	1,954e+004	52,42	110,5	57,46	60,80	91,71	80,67	6,482	36,79	72,28	73,98	8,287	352,9	50,54	0,5551	3,797e+004	3610	-1,215e+004	1700	-5381	7,794	47,80	103,7	58,12	3475	618,9	0,7894	14,64
Max	2,892e+004	8,988e+004	241,2	356,1	118,6	131,3	335,5	146,2	9,893	81,86	136,3	139,1	13,68	375,0	77,28	1,412	1,216e+005	1,051e+004	-4991	6241	-1797	49,52	113,5	329,8	122,2	3,535e+004	7195	0,9004	23,07
Count	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
