	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	3,260e+004	8,736e+004	339,2	445,9	106,6	106,8	399,0	118,1	-4,303	49,24	122,4	116,4	-2,032	257,5	84,06	0,3432	4,876e+005	8764	-5774	6116	-7384	-4,235	79,63	403,6	121,0	13,77
2	3,302e+004	8,910e+004	344,5	450,0	105,5	105,6	416,7	117,0	-4,584	49,51	121,6	115,3	-2,791	258,6	82,77	0,3346	4,084e+005	9263	-5685	5903	-7882	-4,577	84,42	416,2	120,8	14,15
3	3,740e+004	9,731e+004	374,7	478,8	104,1	104,7	418,9	120,4	-0,4173	53,81	120,8	117,9	-0,4173	259,7	82,87	0,3146	3,653e+005	9133	-5535	8112	-8438	1,266	82,55	452,1	113,0	15,24
4	4,393e+004	1,053e+005	405,4	511,4	106,0	106,6	471,3	126,9	-2,189	54,88	129,1	125,1	3,373	259,7	81,78	0,3086	2,621e+005	9373	-5439	6541	-8446	-1,847	84,09	495,7	117,1	15,04
5	3,462e+004	9,141e+004	353,4	474,5	121,1	121,4	427,6	120,2	-4,180	51,08	124,4	117,7	-1,122	258,6	81,20	0,3331	4,716e+005	8996	-5863	5991	-7605	-4,125	84,45	435,3	133,8	13,66
6	3,608e+004	9,846e+004	379,1	477,2	98,13	98,63	424,2	123,5	0,8620	55,27	122,7	121,1	0,8620	259,7	88,40	0,3196	6,518e+005	9318	-5453	7434	-7597	1,532	82,81	428,8	109,6	15,49
7	3,958e+004	9,667e+004	375,4	495,4	120,0	120,3	460,2	122,6	-3,386	52,26	125,9	119,8	3,106	257,5	78,21	0,3190	2,536e+005	9085	-5733	6055	-7399	-3,229	86,14	480,0	132,4	14,27
8	3,365e+004	8,914e+004	343,2	453,9	110,7	111,0	410,4	120,2	-4,303	51,45	124,5	118,4	-1,745	259,7	82,04	0,3449	4,318e+005	9236	-5856	5471	-7540	-4,160	87,65	418,3	127,4	14,01
9	3,433e+004	9,177e+004	356,4	463,7	107,3	108,2	416,6	121,3	-0,5541	53,72	121,9	119,0	-0,5541	257,5	84,90	0,3340	5,106e+005	9065	-5624	8032	-7246	1,368	82,78	419,7	116,6	15,19
10	4,032e+004	1,005e+005	388,5	505,8	117,4	118,0	464,5	125,0	-3,817	53,38	128,9	122,9	3,133	258,6	80,37	0,3164	3,588e+005	9414	-5658	5647	-7701	-3,558	83,65	483,3	131,2	14,58
