	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	3,255e+004	1,025e+005	261,4	375,7	114,3	119,3	274,9	150,8	5,190	79,58	145,6	142,7	11,37	392,2	70,66	0,5459	4,023e+005	1,311e+004	-1,015e+004	7884	-6573	6,449	103,6	370,0	114,3	10,32
2	3,809e+004	1,155e+005	296,4	401,1	104,8	110,4	322,6	151,9	7,974	80,38	144,0	143,2	9,239	389,6	74,60	0,4831	2,545e+005	1,315e+004	-1,036e+004	7749	-7350	10,75	100,8	397,3	104,8	11,25
3	3,551e+004	1,122e+005	286,2	419,1	132,9	138,7	311,7	152,3	5,669	81,42	146,6	147,1	11,54	392,2	68,72	0,5141	3,399e+005	1,314e+004	-9567	7446	-8462	11,54	100,5	416,4	132,9	11,03
4	3,359e+004	9,997e+004	254,9	353,4	98,50	106,0	286,0	153,0	4,616	80,61	148,4	145,0	10,60	392,2	73,22	0,5687	2,743e+005	1,312e+004	-1,059e+004	8395	-5647	5,402	109,5	348,2	98,81	10,31
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	3,499e+004	1,062e+005	270,8	383,0	112,2	123,3	289,9	157,0	6,141	84,97	150,9	148,3	12,10	392,2	71,61	0,5477	3,353e+005	1,329e+004	-9410	8184	-6733	7,707	103,4	378,1	112,8	11,63
7	3,802e+004	1,169e+005	298,1	431,6	133,6	144,4	310,4	156,0	8,323	84,39	147,7	150,1	9,916	392,2	69,50	0,5037	3,729e+005	1,306e+004	-9512	8368	-8032	31,38	100,9	428,9	136,0	12,19
8	3,078e+004	9,305e+004	237,3	343,6	106,4	114,4	258,7	156,8	7,878	84,45	149,0	148,2	11,73	392,2	70,11	0,6245	3,159e+005	1,333e+004	-9916	7235	-5447	8,740	108,5	338,4	106,9	11,57
9	3,145e+004	9,505e+004	244,0	384,2	140,2	143,8	279,8	155,6	4,732	82,64	150,9	151,2	10,67	389,6	63,67	0,6197	2,773e+005	1,324e+004	-9437	7717	-6617	16,12	107,1	383,2	141,1	11,22
10	3,530e+004	1,060e+005	270,2	367,2	96,99	108,5	301,4	154,5	8,056	81,99	146,4	144,1	8,664	392,2	73,74	0,5332	2,262e+005	1,299e+004	-1,075e+004	7302	-6880	11,67	109,6	366,4	100,9	11,17
