	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
30	4,284e+004	1,294e+005	364,5	522,3	157,8	181,6	451,9	153,1	6,560	77,37	146,5	142,0	6,560	355,0	75,97	0,3896	7,699e+005	1,076e+004	-9618	8265	-8000	8,448	95,86	479,8	166,2	12,66
31	3,807e+004	1,151e+005	320,3	460,6	140,4	144,2	392,7	156,6	8,133	81,21	148,5	152,1	10,87	359,3	72,61	0,4750	5,606e+005	1,118e+004	-9159	8263	-8198	8,325	111,4	441,1	143,0	13,04
32	3,635e+004	1,151e+005	324,2	547,4	223,2	228,0	436,3	155,4	4,337	78,23	151,0	151,3	8,756	355,0	63,08	0,4666	7,260e+005	1,133e+004	-8763	6056	-8621	108,7	108,7	514,0	226,0	12,76
33	3,891e+004	1,131e+005	318,5	526,7	208,3	230,7	461,0	154,8	5,890	78,06	148,9	149,2	6,416	355,0	63,59	0,4685	5,883e+005	1,097e+004	-9303	6206	-7140	7,128	105,8	500,8	213,1	11,86
34	3,892e+004	1,169e+005	325,3	463,8	138,5	141,9	409,7	156,7	8,154	80,70	148,5	150,2	10,01	359,3	74,98	0,4617	6,215e+005	1,103e+004	-9365	8756	-8342	8,270	108,9	433,8	139,0	12,97
35	3,679e+004	1,114e+005	310,1	489,4	179,2	184,8	419,9	156,9	4,864	80,04	152,0	149,6	10,23	359,3	66,30	0,4825	5,353e+005	1,139e+004	-9029	6533	-7922	4,898	108,0	467,8	180,1	12,82
36	3,783e+004	1,110e+005	314,4	537,9	223,6	233,0	454,3	154,9	3,694	76,56	151,2	150,7	6,259	352,9	62,41	0,4793	7,199e+005	1,095e+004	-9371	6042	-8554	99,82	99,82	503,7	223,6	11,77
37	4,150e+004	1,266e+005	354,4	523,7	169,3	212,5	459,5	155,2	6,156	78,89	149,0	146,7	6,156	357,1	72,94	0,4140	6,601e+005	1,086e+004	-9542	8279	-7774	8,612	97,99	485,9	192,1	12,82
38	3,889e+004	1,177e+005	327,6	474,6	147,0	151,0	396,2	158,6	8,284	82,20	150,3	151,3	10,83	359,3	73,47	0,4617	6,467e+005	1,118e+004	-9241	9147	-8055	8,489	108,6	446,0	147,9	13,03
39	3,561e+004	1,141e+005	319,4	542,7	223,3	228,8	441,3	158,5	4,665	80,68	153,8	154,2	9,905	357,1	62,41	0,4829	8,353e+005	1,144e+004	-8776	7098	-8214	102,4	113,9	511,8	226,7	13,00
