	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	4,408e+004	1,615e+005	446,9	629,0	182,1	184,6	549,6	146,6	-0,01368	66,70	146,6	141,5	1,785	361,4	81,34	0,3166	1,325e+006	1,126e+004	-7797	1,305e+004	-1,445e+004	0,8891	94,63	549,5	190,2	7,991e+004	3,583e+004	0,5516	10,80
3	5,124e+004	1,714e+005	477,0	652,3	175,2	177,4	573,8	142,5	-0,6155	62,69	143,1	137,3	1,477	359,3	79,92	0,2878	1,170e+006	1,106e+004	-8023	1,321e+004	-1,648e+004	0,3078	94,86	596,9	181,1	8,451e+004	3,327e+004	0,6063	10,49
4	4,625e+004	1,651e+005	456,8	603,7	146,8	148,4	527,4	138,6	-1,012	59,10	139,6	132,6	1,272	361,4	84,11	0,2903	1,126e+006	1,035e+004	-8057	1,212e+004	-1,645e+004	-0,1573	98,78	543,1	153,3	7,627e+004	3,002e+004	0,6064	10,36
5	3,633e+004	1,355e+005	372,6	483,9	111,4	113,5	483,9	134,0	-1,238	55,07	135,2	126,5	0,8481	363,6	88,65	0,3396	4,132e+005	9637	-8166	8688	-1,093e+004	-0,5130	99,15	420,3	119,4	6,171e+004	2,538e+004	0,5888	10,19
6	3,377e+004	1,276e+005	355,0	435,7	80,62	81,22	435,7	128,5	-1,553	50,25	130,1	118,6	0,2394	359,3	96,05	0,3340	2,481e+005	8768	-7906	6894	-9920	-0,8960	91,50	369,6	86,83	5,501e+004	2,124e+004	0,6140	9,865
7	3,042e+004	1,164e+005	322,1	374,7	52,62	52,86	374,7	122,9	-1,915	46,85	124,8	113,2	-0,08891	361,4	100,8	0,3513	1,976e+005	7968	-7599	6888	-9404	-1,347	85,82	319,5	60,88	4,859e+004	1,817e+004	0,6260	9,821
8	2,668e+004	1,103e+005	305,2	342,4	37,18	37,43	341,1	117,1	-2,120	43,40	119,2	107,3	-0,4993	361,4	113,8	0,3516	1,227e+005	7175	-7079	6306	-8226	-1,628	81,83	268,3	42,07	4,233e+004	1,565e+004	0,6303	9,654
9	2,350e+004	1,079e+005	298,4	325,1	26,75	27,11	323,3	111,5	-2,223	40,51	113,7	102,0	-0,5882	361,4	129,4	0,3417	8,760e+004	6443	-6805	6479	-7273	-1,895	80,08	230,7	31,26	3,737e+004	1,388e+004	0,6287	9,536
10	2,084e+004	1,065e+005	294,6	312,3	17,77	17,86	297,8	106,2	-2,394	37,95	108,6	96,16	-0,7934	361,4	143,2	0,3264	8,059e+004	5848	-6395	6551	-6881	-1,840	78,13	205,7	22,69	3,354e+004	1,271e+004	0,6212	9,677
11	1,906e+004	1,012e+005	283,5	297,8	14,31	14,42	287,7	101,1	-2,531	35,18	103,7	91,07	-0,9780	357,1	143,5	0,3213	5,557e+004	5348	-5861	5391	-6653	-2,059	64,12	197,5	17,72	3,080e+004	1,174e+004	0,6189	9,591
12	1,730e+004	9,766e+004	270,2	282,4	12,17	12,27	282,4	96,25	-2,510	33,50	98,76	84,95	-0,8891	361,4	148,9	0,3144	4,152e+004	4836	-5205	5611	-5837	-1,853	61,35	181,5	14,49	2,792e+004	1,062e+004	0,6198	9,810
13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	3,177e+004	1,274e+005	352,9	430,8	77,90	78,83	407,0	122,3	-1,648	48,29	123,9	113,7	0,1623	360,9	110,0	0,3250	4,425e+005	8064	-7172	8290	-1,023e+004	-0,9992	84,57	353,0	83,63	5,254e+004	2,077e+004	0,6102	9,981
Min	1,730e+004	9,766e+004	270,2	282,4	12,17	12,27	282,4	96,25	-2,531	33,50	98,76	84,95	-0,9780	357,1	79,92	0,2878	4,152e+004	4836	-8166	5391	-1,648e+004	-2,059	61,35	181,5	14,49	2,792e+004	1,062e+004	0,5516	9,536
Max	5,124e+004	1,714e+005	477,0	652,3	182,1	184,6	573,8	146,6	-0,01368	66,70	146,6	141,5	1,785	363,6	148,9	0,3516	1,325e+006	1,126e+004	-5205	1,321e+004	-5837	0,8891	99,15	596,9	190,2	8,451e+004	3,583e+004	0,6303	10,80
Count	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
