	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,225e+004	7,106e+004	386,1	538,2	152,1	157,7	496,9	23,75	-38,84	-15,43	62,59	23,05	-37,16	184,0	71,75	0,05969	9054	3016	-2188	3564	-9307	-38,77	-3,453	538,1	159,5	1,930
2	1,919e+004	6,385e+004	342,7	490,5	147,8	153,2	455,9	23,59	-39,24	-15,83	62,83	21,98	-35,25	186,3	70,20	0,06415	1,379e+004	2898	-2094	4177	-6694	-37,36	-4,711	488,2	159,0	2,228
3	2,165e+004	7,016e+004	382,4	532,8	150,4	157,3	491,3	24,01	-39,00	-15,47	63,01	23,10	-37,19	183,5	73,20	0,06042	1,814e+004	3008	-2227	3617	-8337	-38,96	-5,500	522,4	160,6	1,815
4	1,947e+004	6,190e+004	335,3	487,0	151,7	160,1	465,6	24,16	-39,15	-15,68	63,30	22,80	-35,34	184,6	69,23	0,06799	1,303e+004	2906	-2086	4331	-6638	-37,55	-5,422	484,3	159,9	2,160
5	2,124e+004	6,746e+004	365,4	516,6	151,2	158,8	481,1	24,27	-39,13	-15,34	63,40	23,54	-36,85	184,6	71,31	0,06442	1,647e+004	3063	-2250	4466	-8770	-36,44	-4,359	512,4	158,1	2,347
6	2,063e+004	6,554e+004	355,0	508,2	153,2	159,0	474,9	24,40	-39,05	-15,44	63,45	22,84	-35,52	184,6	70,01	0,06435	9768	2953	-2086	4169	-7486	-37,38	-2,922	507,0	160,1	2,432
7	2,092e+004	6,628e+004	357,9	508,7	150,8	155,9	478,6	24,34	-39,30	-15,40	63,64	23,44	-36,70	185,2	70,49	0,06549	1,094e+004	3016	-2242	4310	-8761	-36,34	-5,422	507,8	159,0	1,601
8	2,164e+004	6,902e+004	370,4	524,9	154,5	159,4	502,5	24,64	-38,96	-14,96	63,60	23,52	-35,69	186,3	70,73	0,06349	1,112e+004	2961	-2109	4337	-7177	-37,20	-0,3203	523,7	162,1	2,302
9	2,039e+004	6,888e+004	373,1	522,7	149,6	157,2	472,9	24,46	-39,52	-15,58	63,98	23,44	-36,78	184,6	75,49	0,06282	1,704e+004	3023	-2266	3858	-8282	-39,34	-2,914	494,2	160,0	2,316
10	2,259e+004	7,311e+004	393,6	547,7	154,1	162,3	524,9	24,82	-38,81	-14,77	63,63	24,19	-35,88	185,8	73,52	0,06145	2,618e+004	3000	-2156	3876	-8129	-37,28	-2,250	535,4	161,6	2,602
11	2,043e+004	7,166e+004	386,9	539,2	152,2	159,9	454,1	24,58	-39,63	-15,57	64,21	23,85	-36,68	185,2	77,99	0,06164	8885	2977	-2188	5140	-8401	-36,71	-5,938	496,2	158,3	2,075
12	2,386e+004	7,572e+004	411,4	565,7	154,3	159,4	540,8	24,97	-38,67	-14,77	63,64	24,10	-36,24	184,0	73,59	0,05858	1,217e+004	3086	-2156	3154	-7978	-38,67	-2,727	559,0	161,7	2,317

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,119e+004	6,872e+004	371,7	523,5	151,8	158,3	486,6	24,33	-39,11	-15,35	63,44	23,32	-36,27	184,9	72,29	0,06287	1,388e+004	2992	-2171	4083	-7997	-37,67	-3,828	514,1	160,0	2,177
Min	1,919e+004	6,190e+004	335,3	487,0	147,8	153,2	454,1	23,59	-39,63	-15,83	62,59	21,98	-37,19	183,5	69,23	0,05858	8885	2898	-2266	3154	-9307	-39,34	-5,938	484,3	158,1	1,601
Max	2,386e+004	7,572e+004	411,4	565,7	154,5	162,3	540,8	24,97	-38,67	-14,77	64,21	24,19	-35,25	186,3	77,99	0,06799	2,618e+004	3086	-2086	5140	-6638	-36,34	-0,3203	559,0	162,1	2,602
Count	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
