	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,859e+004	2,360e+005	814,2	903,2	89,06	92,91	408,2	115,8	0,8552	57,95	115,0	110,8	2,189	289,9	246,1	0,1361	9,419e+004	9181	-6239	2,713e+004	-7788	1,040	74,87	330,9	89,11	13,51
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	2,789e+004	9,286e+004	318,8	407,4	88,57	91,52	398,5	115,0	-0,07525	56,95	115,0	109,7	1,389	291,3	95,61	0,3440	3,090e+004	9195	-6007	9902	-6567	0,6568	79,00	333,5	88,77	12,97
4	2,947e+004	2,107e+005	726,9	800,7	73,80	76,04	401,4	115,7	1,519	57,78	114,2	109,0	1,875	289,9	215,0	0,1500	5,210e+004	9503	-6294	2,432e+004	-5883	2,080	79,09	338,0	74,14	13,38
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	2,856e+004	9,740e+004	334,4	409,0	74,55	75,72	400,1	114,8	-0,5678	56,17	115,4	109,3	1,074	291,3	101,4	0,3269	5,328e+004	9639	-6157	8305	-7016	-0,1026	74,26	329,9	75,99	12,78
7	2,515e+004	1,907e+005	660,9	741,8	80,85	83,67	355,1	113,1	0,7731	55,63	112,3	108,5	0,7731	288,5	213,1	0,1642	3,982e+004	9072	-6362	2,261e+004	-5109	1,676	74,43	310,2	81,32	12,93
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	2,722e+004	9,869e+004	338,8	418,4	79,57	80,89	415,5	113,5	-0,6499	55,19	114,1	108,8	1,478	291,3	104,8	0,3210	5,907e+004	9277	-6102	8981	-8168	-0,02052	70,12	323,4	81,81	12,86
10	2,804e+004	1,150e+005	400,6	477,3	76,69	79,14	384,9	115,1	0,7799	56,63	114,3	108,0	0,9852	287,1	121,3	0,2695	4,018e+004	9503	-6486	1,219e+004	-5246	1,327	77,36	330,2	76,99	12,91
11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	2,712e+004	9,563e+004	328,3	416,0	87,69	90,66	389,8	114,6	0,3010	57,04	114,3	109,0	1,389	291,3	98,69	0,3321	2,489e+004	9133	-6376	1,067e+004	-5227	0,7731	70,22	332,7	87,83	12,97
14	3,145e+004	1,779e+005	616,9	686,7	69,80	71,49	420,5	115,7	0,4515	56,87	115,2	108,3	2,025	288,5	181,9	0,1756	5,344e+004	9646	-6417	2,002e+004	-8960	0,5678	76,91	339,2	70,60	13,15
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	2,685e+004	8,863e+004	305,8	380,6	74,85	76,87	376,9	114,4	0,4515	56,04	113,9	108,9	0,8004	289,9	95,92	0,3563	4,058e+004	9496	-6376	8336	-5164	0,9304	79,74	318,8	75,54	12,72
17	2,498e+004	2,231e+005	769,6	844,4	74,78	76,63	352,7	112,7	1,437	55,64	111,3	107,3	2,080	289,9	255,5	0,1395	4,701e+004	9078	-6533	2,436e+004	-4920	1,888	76,01	301,3	75,21	13,09
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	2,574e+004	8,570e+004	295,7	374,4	78,71	80,32	363,3	113,5	-0,8415	55,01	114,4	108,8	1,532	289,9	94,57	0,3680	5,195e+004	9297	-6232	8102	-4922	-0,2394	74,12	312,6	80,57	12,65
20	2,723e+004	1,775e+005	612,3	684,0	71,69	73,98	376,9	115,0	1,101	56,84	113,9	109,8	1,101	289,9	190,7	0,1793	4,123e+004	9434	-6239	2,082e+004	-4859	1,963	72,96	321,1	72,00	13,01
21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	2,785e+004	9,312e+004	321,3	393,1	71,85	73,36	387,0	115,4	-0,2531	56,06	115,7	110,5	1,409	289,9	99,97	0,3439	6,233e+004	9769	-6280	8321	-6212	0,08894	75,98	321,4	73,49	12,98
23	2,699e+004	1,306e+005	450,7	538,1	87,47	89,61	372,4	114,3	0,6773	56,66	113,6	108,3	1,101	289,9	134,4	0,2403	3,903e+004	9140	-6137	1,477e+004	-4364	1,402	72,29	335,4	88,09	13,06
24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	2,725e+004	9,904e+004	340,1	418,0	77,95	79,14	417,1	114,4	-0,1710	55,70	114,6	110,1	1,813	291,3	105,6	0,3239	5,055e+004	9414	-6123	9204	-7712	0,1779	72,18	321,9	79,45	12,92
26	2,894e+004	9,357e+004	321,3	403,1	81,80	84,20	395,3	116,2	0,7115	57,97	115,5	109,1	1,177	291,3	93,55	0,3396	4,106e+004	9633	-6410	9878	-5330	1,259	76,70	343,4	82,12	12,98
27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	2,569e+004	8,495e+004	293,1	380,9	87,86	91,21	366,4	114,8	0,3831	56,54	114,4	109,0	1,272	289,9	91,53	0,3721	2,901e+004	9229	-6424	8552	-4531	0,7936	75,15	320,2	87,98	12,79
30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	2,780e+004	9,004e+004	309,1	385,0	75,90	78,49	384,4	116,1	-0,02736	57,17	116,1	110,6	1,341	291,3	94,40	0,3579	3,661e+004	9564	-6239	7980	-4731	0,4584	81,23	327,5	76,18	12,70
33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	2,583e+004	8,623e+004	297,5	374,4	76,89	78,20	365,4	114,3	-0,5473	55,40	114,8	109,0	1,423	289,9	96,28	0,3663	5,089e+004	9332	-6376	8451	-5434	-0,08894	78,10	309,0	78,22	12,55
36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	2,998e+004	1,007e+005	347,6	418,1	70,54	71,59	417,2	116,2	-0,05473	56,70	116,2	110,3	1,574	289,9	102,5	0,3173	5,563e+004	9763	-6705	8261	-6397	0,2873	72,50	339,2	72,15	12,43
