	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
23	6166	3,786e+004	104,8	193,1	88,35	95,11	152,1	73,89	-3,701	27,02	77,59	66,93	-2,771	361,4	57,28	0,6389	9,088e+004	3496	-4084	2315	-4443	-0,01368	47,92	182,9	88,76	8586	2420	0,7181	10,39
24	6159	3,659e+004	103,7	190,9	87,22	91,99	148,8	72,93	-3,852	25,98	76,78	64,60	-3,079	352,9	56,87	0,6232	1,045e+005	3489	-3920	2384	-4631	39,91	43,40	182,3	89,81	8507	2348	0,7240	10,17
25	5294	3,513e+004	96,62	183,8	87,22	94,33	149,1	70,90	-3,749	26,03	74,65	64,31	-2,483	363,6	56,94	0,6656	1,120e+005	3298	-3749	2455	-4531	22,21	40,62	169,7	87,30	7624	2330	0,6944	10,39
26	5343	3,641e+004	100,7	185,8	85,01	95,59	142,6	70,17	-3,742	25,69	73,91	64,83	-2,901	361,4	59,41	0,6435	1,431e+005	3270	-3633	2724	-3790	46,96	40,49	169,6	85,01	7594	2251	0,7035	10,18
27	4811	3,037e+004	86,05	172,2	86,12	92,21	139,3	68,93	-3,797	24,56	72,73	61,27	-3,222	352,9	51,00	0,7121	8,502e+004	3222	-3578	2366	-4335	32,04	41,49	168,7	88,54	7156	2345	0,6723	10,41
28	4641	3,094e+004	85,60	169,3	83,66	89,25	140,9	67,76	-3,776	24,85	71,54	60,34	-2,593	361,4	58,03	0,7049	5,497e+004	3133	-3448	2246	-3578	22,77	11,49	147,5	83,72	6787	2146	0,6839	10,36
29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	1,372e+004	6,714e+004	186,9	297,2	110,3	126,5	230,1	95,73	-2,994	39,76	98,73	85,20	-1,476	359,2	70,86	0,4990	5,281e+005	5783	-6254	6011	-6870	63,86	61,94	254,7	115,9	1,822e+004	4497	0,7542	10,48
Min	4641	3,037e+004	85,60	169,3	83,66	89,25	139,3	67,76	-3,852	24,56	71,54	60,34	-3,222	352,9	51,00	0,3601	5,497e+004	3133	-8969	2246	-1,156e+004	-0,01368	11,49	147,5	83,72	6787	2146	0,6723	10,00
Max	2,550e+004	1,067e+005	296,9	473,4	176,5	211,7	384,5	131,0	-0,1574	67,60	131,6	122,1	2,490	363,6	88,19	0,7121	1,424e+006	9852	-3448	1,245e+004	-3578	117,4	91,78	392,8	192,6	3,646e+004	1,107e+004	0,8468	12,12
Count	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
