	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	1,021e+004	2,670e+004	194,0	249,3	55,25	55,94	204,8	66,49	1,703	17,87	64,78	56,46	4,294	137,6	81,53	0,2910	8,686e+004	2414	-2031	3000	-4580	24,56	31,54	238,0	64,13	19,77
2	9831	2,582e+004	185,1	240,3	55,27	56,38	201,8	65,56	1,710	17,72	63,85	55,05	4,117	139,5	78,71	0,2975	5,872e+004	2414	-2010	2296	-4216	21,24	32,35	235,1	61,61	19,59
3	9562	2,462e+004	182,6	240,2	57,58	58,55	199,8	65,23	1,716	17,11	63,51	55,76	4,041	134,8	78,27	0,3053	7,187e+004	2352	-1990	2853	-3986	23,77	30,46	233,3	63,59	19,49
4	9834	2,606e+004	188,0	244,1	56,11	57,50	205,5	65,40	1,703	17,60	63,70	55,76	4,178	138,6	80,48	0,2966	7,141e+004	2345	-1969	2387	-4323	1,730	31,83	233,6	63,99	19,66
5	9650	2,344e+004	181,3	238,4	57,19	58,31	200,2	65,11	1,716	16,52	63,40	54,63	4,096	129,3	77,45	0,3014	5,223e+004	2352	-2004	2312	-3860	18,65	31,56	234,0	63,06	19,57
6	1,005e+004	2,551e+004	190,5	245,8	55,30	56,39	205,8	65,72	1,703	17,28	64,02	55,50	4,226	133,9	81,23	0,2914	7,097e+004	2339	-2038	2568	-4515	1,716	31,74	234,5	63,10	19,87
7	9783	2,621e+004	189,2	243,9	54,71	56,04	202,8	65,43	1,716	17,64	63,71	55,06	4,144	138,6	80,83	0,2910	8,054e+004	2393	-1997	2630	-4446	25,27	32,19	234,0	65,08	19,75
8	9629	2,465e+004	182,8	240,5	57,72	59,64	197,6	65,21	1,723	17,15	63,49	55,32	4,089	134,8	77,78	0,3026	5,674e+004	2345	-1949	2209	-4038	1,744	33,86	235,0	63,86	19,68
9	9829	2,561e+004	185,3	242,9	57,67	60,39	200,0	65,58	1,723	17,66	63,85	56,65	4,253	138,2	78,18	0,3058	6,525e+004	2325	-1990	2360	-3939	22,35	33,53	237,0	62,76	19,79

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	9819	2,540e+004	186,5	242,8	56,31	57,68	202,0	65,53	1,713	17,39	63,81	55,58	4,160	136,2	79,39	0,2981	6,829e+004	2364	-1997	2513	-4211	15,67	32,12	235,0	63,46	19,69
Min	9562	2,344e+004	181,3	238,4	54,71	55,94	197,6	65,11	1,703	16,52	63,40	54,63	4,041	129,3	77,45	0,2910	5,223e+004	2325	-2038	2209	-4580	1,716	30,46	233,3	61,61	19,49
Max	1,021e+004	2,670e+004	194,0	249,3	57,72	60,39	205,8	66,49	1,723	17,87	64,78	56,65	4,294	139,5	81,53	0,3058	8,686e+004	2414	-1949	3000	-3860	25,27	33,86	238,0	65,08	19,87
Count	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
