	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,753e+004	9,517e+004	318,8	540,2	221,3	251,8	517,1	111,6	3,906	64,71	107,6	109,2	68,47	298,5	61,65	0,3426	3,948e+005	3982	-3749	8734	-5459	4,625	68,47	517,1	253,8	23,24
2	3,091e+004	8,967e+004	343,7	554,1	210,4	228,7	485,3	114,4	3,660	62,85	110,8	111,3	7,600	260,9	63,33	0,3237	2,215e+005	4631	-4029	7945	-6630	4,508	68,66	542,7	227,1	22,90
3	2,663e+004	8,411e+004	322,4	530,9	208,5	271,3	397,5	110,9	4,023	59,23	106,9	109,0	6,663	260,9	61,93	0,3380	2,783e+005	3899	-3728	1,005e+004	-6640	5,432	66,44	520,7	260,5	22,75
4	3,251e+004	9,600e+004	372,8	592,3	219,5	226,9	496,1	114,9	3,263	62,35	111,6	112,6	7,771	257,5	65,49	0,3020	4,014e+005	4618	-4118	9149	-6184	4,597	71,75	569,2	229,8	22,73
5	2,489e+004	1,038e+005	394,4	652,8	258,4	299,9	446,2	112,0	7,012	61,37	105,0	109,5	7,279	263,2	72,78	0,2776	3,230e+005	3920	-3612	1,318e+004	-5564	9,352	68,31	541,9	296,5	24,78
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,849e+004	9,375e+004	350,4	574,0	223,6	255,7	468,4	112,8	4,373	62,10	108,4	110,3	19,56	268,2	65,04	0,3168	3,238e+005	4210	-3847	9812	-6095	5,703	68,73	538,3	253,5	23,28
Min	2,489e+004	8,411e+004	318,8	530,9	208,5	226,9	397,5	110,9	3,263	59,23	105,0	109,0	6,663	257,5	61,65	0,2776	2,215e+005	3899	-4118	7945	-6640	4,508	66,44	517,1	227,1	22,73
Max	3,251e+004	1,038e+005	394,4	652,8	258,4	299,9	517,1	114,9	7,012	64,71	111,6	112,6	68,47	298,5	72,78	0,3426	4,014e+005	4631	-3612	1,318e+004	-5459	9,352	71,75	569,2	296,5	24,78
Count	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
