	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	1,706e+004	7,927e+004	323,7	377,8	54,13	56,51	262,6	78,35	0,9233	38,27	77,42	72,30	3,734	244,9	108,3	0,2234	2,540e+005	4418	-2606	6582	-6002	2,236	52,07	299,0	54,71	15,85
2	2,446e+004	9,251e+004	365,4	421,7	56,28	57,84	372,5	79,48	1,689	41,67	77,79	73,55	6,353	253,2	89,56	0,2013	1,915e+005	4295	-2736	8047	-7104	3,543	46,84	408,0	56,68	15,51
3	2,226e+004	8,308e+004	326,8	391,3	64,54	68,60	332,0	80,93	1,587	42,29	79,35	75,49	6,449	254,2	87,67	0,2310	1,957e+005	4315	-2907	8154	-7875	2,852	50,25	372,7	64,71	15,99
4	2,310e+004	8,982e+004	354,8	417,5	62,76	66,26	336,4	82,10	1,443	42,59	80,65	74,96	6,223	253,2	92,93	0,2113	2,942e+005	4432	-2893	7763	-8157	2,729	53,22	381,8	62,83	16,57
5	2,604e+004	9,663e+004	380,1	440,9	60,83	63,24	361,6	82,49	1,457	42,64	81,03	76,58	5,622	254,2	89,06	0,2015	2,274e+005	4439	-2886	7064	-6677	2,968	49,75	426,8	61,05	16,59
6	2,285e+004	8,687e+004	341,7	402,5	60,80	65,04	312,6	82,53	0,8686	42,30	81,66	78,33	5,560	254,2	92,31	0,2292	2,336e+005	4445	-2975	7044	-7509	2,845	52,19	370,1	60,89	16,24

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,263e+004	8,803e+004	348,7	408,6	59,89	62,92	329,6	80,98	1,328	41,63	79,65	75,20	5,657	252,3	93,30	0,2163	2,327e+005	4391	-2834	7442	-7221	2,862	50,72	376,4	60,15	16,13
Min	1,706e+004	7,927e+004	323,7	377,8	54,13	56,51	262,6	78,35	0,8686	38,27	77,42	72,30	3,734	244,9	87,67	0,2013	1,915e+005	4295	-2975	6582	-8157	2,236	46,84	299,0	54,71	15,51
Max	2,604e+004	9,663e+004	380,1	440,9	64,54	68,60	372,5	82,53	1,689	42,64	81,66	78,33	6,449	254,2	108,3	0,2310	2,942e+005	4445	-2606	8154	-6002	3,543	53,22	426,8	64,71	16,59
Count	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
