	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,348e+004	8,776e+004	351,0	394,8	43,79	45,52	381,4	78,29	1,717	40,63	76,57	71,13	6,415	250,0	92,45	0,2026	1,569e+005	4370	-2585	6559	-7178	3,084	48,97	379,7	43,94	15,97
2	2,119e+004	8,162e+004	323,7	384,2	60,47	62,02	329,7	79,82	1,628	41,42	78,20	73,62	6,353	252,1	89,76	0,2274	2,249e+005	4247	-2770	7271	-6249	3,508	48,65	360,7	61,56	15,69
3	2,161e+004	7,952e+004	314,1	375,3	61,14	64,24	316,9	81,97	1,723	42,83	80,24	77,03	6,757	253,2	86,92	0,2452	1,476e+005	4404	-2934	7110	-6868	3,037	53,00	361,4	61,30	16,47
4	1,993e+004	7,838e+004	309,6	370,5	60,88	63,31	305,2	82,38	1,546	42,76	80,84	75,71	6,490	253,2	93,34	0,2446	3,053e+005	4370	-2879	6380	-6337	2,975	50,12	331,7	60,88	16,76
5	2,137e+004	8,397e+004	331,7	391,5	59,82	61,78	292,0	82,70	1,368	42,58	81,33	78,46	5,977	253,2	93,50	0,2366	3,127e+005	4439	-2907	7260	-6665	3,194	49,69	354,7	60,16	16,68
6	2,373e+004	8,461e+004	335,6	394,1	58,54	61,83	339,5	82,53	1,169	42,07	81,36	79,57	4,828	252,1	87,31	0,2371	1,240e+005	4466	-3009	5908	-8437	2,537	55,07	384,4	58,57	16,46

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,188e+004	8,264e+004	327,6	385,1	57,44	59,78	327,4	81,28	1,525	42,05	79,76	75,92	6,137	252,3	90,55	0,2323	2,119e+005	4383	-2847	6748	-6956	3,056	50,92	362,1	57,73	16,34
Min	1,993e+004	7,838e+004	309,6	370,5	43,79	45,52	292,0	78,29	1,169	40,63	76,57	71,13	4,828	250,0	86,92	0,2026	1,240e+005	4247	-3009	5908	-8437	2,537	48,65	331,7	43,94	15,69
Max	2,373e+004	8,776e+004	351,0	394,8	61,14	64,24	381,4	82,70	1,723	42,83	81,36	79,57	6,757	253,2	93,50	0,2452	3,127e+005	4466	-2585	7271	-6249	3,508	55,07	384,4	61,56	16,76
Count	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
