;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
1;3,008e+004;1,232e+005;336,7;518,8;182,0;186,4;510,4;111,3;-1,279;44,08;112,6;94,22;1,642;365,9;71,96;0,2798;5,287e+005;9624;-8051;7892;-8786;-0,6224;83,91;467,9;183,6;3,747e+004;7395;0,8027;9,573
2;3,693e+004;1,308e+005;364,0;523,3;159,4;166,0;520,2;108,3;-1,902;41,21;110,2;92,39;0,4036;359,3;71,03;0,2538;4,438e+004;9535;-7435;7158;-8931;-1,888;77,02;512,5;160,0;4,177e+004;4840;0,8841;9,099
3;3,402e+004;1,252e+005;348,6;501,8;153,2;158,6;500,0;104,6;-2,093;38,89;106,7;89,47;-0,2326;359,3;70,38;0,2567;1,486e+005;8878;-7223;6256;-1,019e+004;-2,018;76,40;495,3;155,2;3,874e+004;4719;0,8782;9,041
4;3,303e+004;1,229e+005;344,2;483,9;139,6;144,6;481,2;100,1;-4,603;34,83;104,7;85,63;-0,6019;357,1;72,42;0,2488;8,138e+004;8215;-6710;6744;-9518;-4,549;69,68;475,3;141,6;3,578e+004;2748;0,9232;8,634
5;3,005e+004;1,234e+005;341,5;485,1;143,6;147,0;482,3;93,45;-4,829;31,97;98,28;81,24;-3,789;361,4;72,93;0,2379;8,604e+004;7490;-6108;6836;-9969;-4,795;66,75;468,2;148,3;3,405e+004;3995;0,8827;8,456
6;2,699e+004;1,190e+005;331,2;465,0;133,8;139,7;465,0;92,00;-2,346;32,32;94,34;80,01;-1,990;359,3;76,10;0,2416;7,924e+004;7182;-5492;7267;-1,034e+004;-2,278;67,28;435,2;137,5;3,035e+004;3355;0,8894;8,922
7;2,241e+004;1,027e+005;284,1;411,7;127,7;132,9;405,3;87,76;-2,654;30,60;90,42;78,52;-1,115;361,4;72,00;0,2764;2,062e+005;6416;-5445;5975;-1,056e+004;-2,640;61,57;394,5;130,8;2,490e+004;2489;0,9000;8,760
8;1,963e+004;9,645e+004;268,5;393,4;124,9;129,9;374,2;83,41;-2,900;28,43;86,31;75,02;-1,546;359,3;72,88;0,2795;2,672e+005;5793;-4877;5322;-1,083e+004;-2,880;59,25;368,3;129,2;2,191e+004;2275;0,8961;8,733
9;1,916e+004;9,581e+004;265,1;386,0;120,9;126,5;364,6;79,86;-3,071;27,19;82,93;72,95;-1,594;361,4;71,91;0,2752;1,887e+005;5287;-4631;4878;-1,084e+004;-3,051;51,83;368,6;124,2;2,119e+004;2037;0,9039;8,618
10;1,788e+004;9,146e+004;253,1;371,2;118,1;122,2;360,4;76,55;-3,133;25,87;79,68;69,30;-1,929;361,4;70,65;0,2739;1,356e+005;5021;-4508;4657;-1,022e+004;-3,105;22,89;358,2;123,3;1,983e+004;1958;0,9013;8,434
11;1,624e+004;8,760e+004;242,3;360,4;118,0;122,7;339,7;73,73;-3,167;24,73;76,90;66,01;-2,059;361,4;70,69;0,2724;1,328e+005;4726;-4159;4313;-9097;-3,167;25,10;342,8;123,7;1,809e+004;1850;0,8978;8,553
12;1,497e+004;8,468e+004;234,3;352,7;118,4;122,3;322,4;71,24;-3,256;23,78;74,50;62,56;-2,155;361,4;70,73;0,2670;1,489e+005;4672;-4022;3948;-8834;-3,215;22,82;331,2;122,6;1,676e+004;1789;0,8933;8,368
13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
Avg;2,512e+004;1,086e+005;301,1;437,8;136,6;141,6;427,1;90,20;-2,936;31,99;93,13;78,94;-1,247;360,7;71,97;0,2636;1,706e+005;6903;-5722;5937;-9841;-2,851;57,04;418,2;140,0;2,840e+004;3288;0,8877;8,766
Min;1,497e+004;8,468e+004;234,3;352,7;118,0;122,2;322,4;71,24;-4,829;23,78;74,50;62,56;-3,789;357,1;70,38;0,2379;4,438e+004;4672;-8051;3948;-1,084e+004;-4,795;22,82;331,2;122,6;1,676e+004;1789;0,8027;8,368
Max;3,693e+004;1,308e+005;364,0;523,3;182,0;186,4;520,2;111,3;-1,279;44,08;112,6;94,22;1,642;365,9;76,10;0,2798;5,287e+005;9624;-4022;7892;-8786;-0,6224;83,91;512,5;183,6;4,177e+004;7395;0,9232;9,573
Count;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
