;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
27;3,526e+004;1,178e+005;304,2;430,2;125,9;131,7;430,2;157,5;3,918;87,01;153,6;148,1;3,918;387,1;83,44;0,4867;3,632e+005;1,162e+004;-5922;7851;-6697;5,026;105,6;364,6;125,9;13,18
28;2,875e+004;8,767e+004;225,0;334,8;109,8;116,2;323,5;159,8;4,219;90,04;155,6;149,8;7,173;389,6;73,46;0,6656;2,373e+005;1,163e+004;-5464;1,056e+004;-5360;5,395;110,2;306,3;109,8;12,76
29;2,822e+004;1,016e+005;260,8;382,9;122,1;128,4;337,9;159,3;2,824;89,57;156,5;148,5;7,043;389,6;80,92;0,5695;2,267e+005;1,160e+004;-4759;1,171e+004;-5898;4,014;99,47;322,4;122,2;14,73
30;3,535e+004;1,056e+005;272,9;392,5;119,7;127,6;387,3;159,4;4,287;89,37;155,1;147,2;5,286;387,1;75,79;0,5395;3,161e+005;1,170e+004;-5135;9274;-6718;5,129;99,19;360,0;120,9;13,81
31;2,931e+004;8,919e+004;227,4;336,5;109,1;114,7;335,5;160,7;4,376;91,57;156,3;148,9;7,631;392,2;73,77;0,6549;2,448e+005;1,165e+004;-5115;1,016e+004;-5391;5,703;107,5;308,3;109,1;13,32
32;2,863e+004;8,728e+004;224,0;335,1;111,1;116,5;330,0;160,1;3,426;90,12;156,7;149,1;7,310;389,6;71,80;0,6656;3,026e+005;1,162e+004;-4732;1,005e+004;-5970;4,602;100,3;312,0;111,1;14,78
33;2,843e+004;9,376e+004;240,6;360,0;119,4;124,1;338,3;158,4;2,489;88,57;155,9;149,0;6,182;389,6;74,88;0,6193;3,748e+005;1,162e+004;-5033;9931;-6279;3,679;104,7;321,4;119,5;13,52
34;3,169e+004;9,822e+004;252,1;363,4;111,3;117,1;362,3;157,8;3,911;88,03;153,9;146,6;5,176;389,6;76,55;0,5816;3,336e+005;1,164e+004;-5566;8525;-6580;5,101;102,1;329,3;111,6;13,17

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
Avg;3,037e+004;9,771e+004;250,2;370,5;120,3;125,9;354,2;160,4;3,676;90,64;156,8;149,4;6,769;390,5;75,74;0,6015;2,945e+005;1,172e+004;-5152;1,014e+004;-6037;4,853;104,3;330,5;121,1;13,42
Min;2,626e+004;8,504e+004;216,9;324,1;107,3;112,7;317,1;156,8;1,443;86,14;153,6;146,6;3,918;387,1;69,41;0,4846;1,708e+005;1,160e+004;-5922;7851;-6774;2,270;98,44;298,2;107,3;10,21
Max;3,535e+004;1,186e+005;304,5;430,2;137,8;144,9;430,2;166,1;5,040;96,64;161,2;153,7;9,218;394,7;94,63;0,6837;4,299e+005;1,186e+004;-4575;1,284e+004;-5159;6,770;112,5;369,5;146,3;14,78
Count;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
