	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	3,960e+004	1,271e+005	353,8	421,5	67,67	77,18	332,2	146,2	7,285	71,74	138,9	131,5	7,743	359,3	93,84	0,3716	7,412e+005	1,029e+004	-9631	5998	-9669	109,8	99,58	377,0	72,29	12,30
2	3,290e+004	1,098e+005	303,8	351,4	47,64	49,06	267,5	147,3	7,716	73,56	139,6	135,0	9,919	361,4	98,68	0,4444	7,286e+005	1,060e+004	-9672	7632	-9511	7,750	101,6	307,8	47,75	12,63
3	3,316e+004	1,101e+005	304,7	381,4	76,74	78,20	306,7	149,6	6,430	75,44	143,2	142,0	10,14	361,4	90,34	0,4662	6,453e+005	1,104e+004	-9351	6168	-9619	6,806	105,9	337,2	78,10	12,74
4	4,180e+004	1,329e+005	370,0	462,6	92,63	98,29	349,2	150,6	6,232	75,26	144,4	142,3	8,174	359,3	89,10	0,3845	8,374e+005	1,098e+004	-9618	6591	-9902	113,9	103,2	415,3	92,74	12,37
5	4,103e+004	1,265e+005	352,2	416,1	63,91	70,53	335,2	150,9	6,690	75,24	144,2	138,8	8,530	359,3	93,40	0,3942	7,495e+005	1,080e+004	-9440	7163	-1,080e+004	6,765	103,0	377,1	64,79	12,49
6	3,483e+004	1,175e+005	327,1	454,1	127,0	131,2	332,7	150,9	5,725	75,76	145,1	142,8	8,851	359,3	80,32	0,4365	9,091e+005	1,102e+004	-9433	8087	-8170	6,191	108,1	407,2	127,2	12,35
7	4,830e+004	1,405e+005	391,0	461,6	70,60	79,53	399,4	152,1	8,003	76,93	144,1	139,9	8,003	359,3	90,27	0,3577	5,963e+005	1,073e+004	-9488	7912	-9908	8,181	104,0	433,1	74,05	12,85
8	3,920e+004	1,248e+005	345,3	432,3	86,98	91,31	331,2	155,4	8,544	80,83	146,9	143,8	10,79	361,4	89,41	0,4166	8,204e+005	1,125e+004	-9296	6894	-9696	8,735	108,8	386,2	87,01	13,50
9	3,849e+004	1,217e+005	336,7	468,4	131,7	135,7	356,5	156,5	6,786	81,08	149,8	150,5	10,36	361,4	77,82	0,4469	7,047e+005	1,138e+004	-8899	6374	-9505	7,463	112,1	432,7	133,5	13,32
10	4,291e+004	1,268e+005	353,0	457,8	104,9	111,7	377,2	155,8	6,074	79,26	149,8	148,5	9,091	359,3	83,69	0,4206	6,708e+005	1,114e+004	-9467	8774	-1,021e+004	6,423	103,4	421,8	105,0	12,69
11	4,214e+004	1,225e+005	342,9	474,8	131,8	140,9	413,9	152,9	5,192	76,38	147,7	142,0	8,051	357,1	77,17	0,4142	6,126e+005	1,097e+004	-9467	8016	-8689	5,712	102,1	444,4	132,6	12,07
12	4,344e+004	1,325e+005	370,9	501,4	130,5	142,9	428,3	151,4	4,275	74,99	147,1	142,4	7,873	357,1	82,25	0,3839	7,732e+005	1,081e+004	-9583	9948	-9682	5,418	103,2	451,0	131,9	11,61

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	3,982e+004	1,244e+005	345,9	440,3	94,34	100,5	352,5	151,6	6,579	76,37	145,1	141,6	8,962	359,6	87,19	0,4114	7,324e+005	1,092e+004	-9445	7463	-9613	24,43	104,6	399,2	95,57	12,57
Min	3,290e+004	1,098e+005	303,8	351,4	47,64	49,06	267,5	146,2	4,275	71,74	138,9	131,5	7,743	357,1	77,17	0,3577	5,963e+005	1,029e+004	-9672	5998	-1,080e+004	5,418	99,58	307,8	47,75	11,61
Max	4,830e+004	1,405e+005	391,0	501,4	131,8	142,9	428,3	156,5	8,544	81,08	149,8	150,5	10,79	361,4	98,68	0,4662	9,091e+005	1,138e+004	-8899	9948	-8170	113,9	112,1	451,0	133,5	13,50
Count	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
