	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	3,485e+004	9,792e+004	274,2	510,8	236,6	243,2	464,1	165,4	5,431	85,50	159,9	160,8	7,723	357,1	55,91	0,5864	4,836e+005	1,151e+004	-8872	5404	-7106	6,587	112,0	490,4	237,6	13,14
2	4,222e+004	1,101e+005	308,2	487,7	179,5	190,5	446,7	166,0	7,593	86,07	158,4	156,8	7,593	357,1	64,96	0,5086	3,768e+005	1,139e+004	-9207	9006	-6235	8,783	109,3	474,5	181,3	13,55
3	3,855e+004	1,077e+005	299,7	483,3	183,6	193,1	430,8	166,8	8,181	87,58	158,6	159,5	10,45	359,3	65,25	0,5320	5,162e+005	1,164e+004	-8728	9561	-7158	8,462	108,8	459,4	183,6	13,94
4	3,629e+004	1,033e+005	289,3	505,7	216,4	219,4	455,1	166,4	5,835	85,61	160,6	161,6	9,036	357,1	59,18	0,5587	4,228e+005	1,177e+004	-8722	4560	-6562	6,437	112,6	488,9	221,1	13,79
5	3,397e+004	9,378e+004	261,0	486,6	225,6	231,3	435,0	164,1	5,486	84,06	158,6	160,6	7,976	359,3	55,52	0,6151	4,510e+005	1,131e+004	-9064	5465	-5888	6,095	102,8	470,2	226,6	12,80
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	3,933e+004	1,088e+005	302,8	488,4	185,6	193,1	433,4	166,4	8,455	87,51	158,0	161,3	10,73	359,3	64,16	0,5328	4,656e+005	1,156e+004	-8865	8944	-6528	9,064	116,6	471,9	185,7	13,84
9	3,430e+004	9,502e+004	266,0	501,6	235,5	240,4	460,8	165,8	6,020	85,87	159,7	161,1	9,775	357,1	54,87	0,6056	3,568e+005	1,166e+004	-8612	5657	-6343	6,793	106,1	484,9	237,1	13,79
10	3,504e+004	9,714e+004	272,0	495,3	223,4	229,4	439,2	164,6	5,206	84,34	159,4	159,3	7,914	357,1	57,07	0,5859	4,585e+005	1,136e+004	-9125	5648	-6704	5,951	102,9	476,6	224,5	12,66
11	3,318e+004	9,423e+004	265,4	488,7	223,3	230,0	432,8	162,9	5,226	82,54	157,6	158,3	7,347	355,0	57,29	0,5964	5,878e+005	1,120e+004	-9282	5618	-6357	6,197	105,1	463,3	223,9	12,32
12	4,024e+004	1,074e+005	298,8	470,5	171,7	185,9	434,6	165,4	8,619	86,52	156,7	157,8	8,756	359,3	66,00	0,5282	4,089e+005	1,140e+004	-9228	9320	-6309	8,947	101,0	452,8	173,7	13,52
13	4,081e+004	1,101e+005	306,4	503,9	197,5	206,4	453,6	166,8	7,463	88,01	159,3	159,8	10,63	359,3	62,62	0,5216	3,649e+005	1,170e+004	-8496	9183	-7058	7,675	109,9	489,3	197,5	14,11
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	3,457e+004	9,171e+004	259,9	489,0	229,2	236,1	432,9	163,4	5,472	82,83	158,0	159,6	7,572	352,9	54,08	0,6142	3,470e+005	1,119e+004	-9166	5553	-5452	6,546	113,1	480,5	229,9	12,53
16	3,571e+004	9,816e+004	274,8	485,8	211,0	223,6	431,1	162,8	5,691	83,17	157,1	157,4	7,908	357,1	59,53	0,5727	5,002e+005	1,124e+004	-9399	6432	-5969	6,129	103,6	461,7	212,1	12,50
17	3,654e+004	1,028e+005	287,8	497,0	209,3	218,0	445,5	163,8	7,545	84,84	156,3	157,0	8,017	357,1	60,97	0,5457	5,675e+005	1,141e+004	-9118	7273	-6269	8,120	107,2	472,0	209,3	12,94
18	3,794e+004	1,039e+005	291,0	485,4	194,5	202,9	437,0	167,2	8,879	88,42	158,3	160,5	10,44	357,1	62,72	0,5515	4,884e+005	1,158e+004	-8961	9351	-6037	9,180	107,1	463,9	194,5	13,89
