	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
28	2,500e+004	7,738e+004	208,9	327,1	118,2	126,5	301,7	146,5	12,33	80,15	134,1	140,0	12,46	370,4	65,40	0,6699	3,054e+005	1,030e+004	-1,115e+004	8014	-5280	12,33	104,5	319,4	119,8	14,16
29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	2,792e+004	8,242e+004	221,2	348,8	127,6	135,0	323,4	149,0	10,50	82,05	138,5	145,5	13,95	372,7	63,50	0,6580	1,767e+005	1,043e+004	-1,038e+004	5814	-6257	10,52	112,0	348,3	131,0	14,64
31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	2,599e+004	7,347e+004	198,4	323,9	125,6	134,2	311,5	150,5	10,56	83,24	140,0	147,1	15,66	370,4	61,95	0,7416	8,044e+004	1,042e+004	-1,091e+004	7596	-4246	10,59	107,2	320,2	126,6	14,04
35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,689e+004	7,935e+004	214,1	334,7	120,6	129,7	308,9	147,0	11,38	79,72	135,6	142,7	13,95	370,6	64,76	0,6673	1,096e+005	1,030e+004	-1,121e+004	7564	-4950	11,44	108,7	330,7	123,3	13,92
Min	2,500e+004	7,347e+004	198,4	315,2	112,7	120,9	294,6	145,0	9,818	77,99	133,0	140,0	12,14	368,1	61,95	0,6167	7,135e+004	1,015e+004	-1,238e+004	5814	-6257	9,934	100,0	310,4	114,9	13,05
Max	2,861e+004	8,387e+004	227,8	354,0	127,8	137,4	326,1	150,5	12,74	83,24	140,0	147,1	15,66	375,0	66,96	0,7416	3,054e+005	1,043e+004	-1,003e+004	9462	-4246	12,74	114,4	353,5	131,0	14,64
Count	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
