;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
28;3,785e+004;1,050e+005;292,3;489,5;197,2;200,9;481,7;141,1;1,156;68,89;140,0;139,5;1,655;359,3;60,22;0,4774;8,590e+004;1,174e+004;-9473;1,032e+004;-7561;1,484;104,0;485,4;199,6;10,24
29;3,263e+004;9,429e+004;264,0;442,7;178,7;181,4;437,6;142,7;1,772;70,07;140,9;141,0;3,372;357,1;61,33;0,5339;3,350e+005;1,176e+004;-9261;9499;-7291;1,990;102,0;430,5;181,7;10,46
30;2,780e+004;1,001e+005;278,6;474,1;195,5;197,2;413,0;142,5;-0,2052;70,05;142,7;141,3;3,482;359,3;65,47;0,5072;4,791e+005;1,170e+004;-9213;8458;-7734;-0,1778;98,04;425,5;204,7;10,33
31;3,577e+004;1,030e+005;288,4;483,9;195,5;198,1;475,5;141,5;0,01368;68,45;141,5;140,0;1,566;357,1;61,03;0,4855;1,530e+005;1,171e+004;-9508;8221;-6778;0,01368;96,16;472,5;200,1;9,936
32;3,772e+004;1,032e+005;290,7;482,4;191,7;194,6;478,4;141,7;1,293;68,63;140,4;140,0;1,888;355,0;60,55;0,4817;1,079e+005;1,175e+004;-9207;1,053e+004;-7085;1,628;97,35;480,0;194,6;10,47
33;3,225e+004;9,448e+004;263,0;441,5;178,5;180,3;427,3;143,3;1,115;70,68;142,2;140,9;3,584;359,3;61,35;0,5358;3,133e+005;1,172e+004;-9172;1,021e+004;-8042;1,259;100,9;428,6;182,4;10,47
34;3,050e+004;1,001e+005;280,2;478,4;198,2;199,8;440,2;142,7;-0,1368;69,77;142,8;141,3;2,490;357,1;62,58;0,5041;2,331e+005;1,172e+004;-9248;8348;-6792;-0,06840;104,1;447,8;205,3;10,19
35;3,580e+004;1,022e+005;286,2;484,0;197,8;200,5;479,8;142,2;-0,1436;68,78;142,3;140,3;1,813;357,1;60,31;0,4903;1,600e+005;1,176e+004;-9220;8912;-6911;-0,1163;101,2;474,6;203,1;10,16

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
Avg;3,282e+004;1,009e+005;280,7;468,5;187,9;190,3;446,3;141,4;0,5271;68,85;140,8;139,7;2,451;359,5;63,12;0,4982;2,389e+005;1,187e+004;-9350;9022;-7249;0,6785;100,5;445,6;192,4;10,16
Min;2,588e+004;9,319e+004;259,4;433,8;172,8;175,6;386,2;138,4;-0,3420;66,47;137,6;136,5;1,436;355,0;60,10;0,4660;8,590e+004;1,170e+004;-9651;7602;-8514;-0,3283;95,90;396,0;175,2;9,798
Max;3,858e+004;1,104e+005;305,6;489,5;198,2;200,9;487,5;146,6;1,922;73,09;146,6;144,6;3,933;363,6;70,40;0,5427;5,535e+005;1,224e+004;-8940;1,053e+004;-5948;2,312;106,8;485,4;206,4;10,48
Count;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
