	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	1,346e+004	5,108e+004	265,6	393,6	127,9	133,6	338,4	19,15	-39,91	-18,60	59,05	16,24	-37,08	192,3	69,88	0,06115	5433	2516	-1953	3252	-5174	-37,92	-6,633	380,1	134,4	 
2	1,521e+004	5,564e+004	289,3	424,4	135,1	137,7	394,2	19,70	-38,35	-17,17	58,05	17,55	-37,30	192,3	68,32	0,06065	7337	2641	-2000	2195	-6811	-32,24	-5,953	423,4	142,9	1,385
3	1,310e+004	4,953e+004	257,5	384,4	126,9	130,8	327,4	18,66	-39,77	-18,83	58,42	15,41	-36,77	192,3	67,33	0,05982	8158	2461	-1969	3112	-5250	-38,67	-6,453	382,5	136,4	 
4	1,464e+004	5,330e+004	278,0	410,3	132,3	139,3	382,5	19,41	-38,60	-17,41	58,02	17,45	-37,59	191,7	68,21	0,06277	1,251e+004	2617	-2016	2496	-6270	-37,59	-8,180	407,6	139,9	 
5	1,256e+004	4,787e+004	247,3	376,7	129,4	132,3	312,7	18,07	-39,59	-18,88	57,66	14,80	-36,47	193,5	66,01	0,05986	5019	2453	-1844	3418	-5733	-31,92	-6,469	374,6	135,9	 
6	1,431e+004	5,301e+004	275,7	404,4	128,8	133,8	371,4	19,02	-38,96	-17,73	57,98	16,61	-37,65	192,3	68,60	0,06026	8283	2578	-1992	2283	-6316	-38,70	-6,828	401,8	137,6	 
7	1,264e+004	4,818e+004	248,1	380,2	132,1	136,3	334,0	18,11	-39,48	-18,60	57,59	14,93	-35,98	194,2	65,84	0,06017	5863	2398	-1883	2518	-5101	-37,99	-8,094	376,8	138,2	 
8	1,398e+004	5,142e+004	268,2	395,1	126,9	131,0	356,0	18,90	-39,33	-18,13	58,23	16,30	-37,55	191,7	67,89	0,06075	8235	2555	-2023	2364	-6041	-35,07	-7,680	395,1	135,5	 
9	1,339e+004	5,061e+004	261,5	396,7	135,2	141,3	349,1	18,71	-39,27	-18,20	57,98	15,60	-36,11	193,5	66,08	0,05967	4932	2461	-1906	2677	-5418	-37,87	-5,133	395,7	141,5	 
10	1,391e+004	5,111e+004	267,5	394,4	127,0	130,7	343,4	19,00	-39,72	-18,43	58,72	16,27	-37,44	191,1	67,88	0,06084	7027	2523	-1992	3497	-5960	-32,76	-5,641	394,1	135,2	 
11	1,426e+004	5,287e+004	273,2	409,3	136,1	142,7	380,0	19,29	-39,07	-17,59	58,36	16,71	-36,29	193,5	66,74	0,06117	7665	2508	-1930	2345	-5888	-37,66	-5,492	409,3	144,1	 
