	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	3,920e+004	1,235e+005	387,0	615,1	228,0	358,5	587,9	151,8	4,897	76,58	146,9	148,6	5,184	319,1	67,92	0,3840	7,133e+005	8631	-6648	1,252e+004	-7022	5,348	92,31	569,9	333,3	15,17
2	4,212e+004	1,211e+005	375,4	627,6	252,2	363,6	566,6	152,1	2,900	77,80	149,2	148,0	8,194	322,6	63,76	0,3942	5,890e+005	8666	-6593	1,426e+004	-7878	3,351	94,70	588,9	327,4	14,80
3	3,750e+004	1,070e+005	333,5	600,1	266,6	347,9	579,3	151,2	3,618	76,53	147,6	148,7	5,574	320,9	57,85	0,4459	4,523e+005	8652	-6621	1,251e+004	-6471	4,699	88,80	576,6	336,8	14,87
4	4,537e+004	1,381e+005	428,1	621,5	193,4	367,2	574,4	152,9	3,721	78,00	149,2	149,3	7,414	322,6	74,88	0,3489	7,260e+005	8659	-6894	1,547e+004	-1,053e+004	4,186	91,80	571,7	315,4	14,79
5	3,702e+004	1,119e+005	348,6	628,2	279,6	363,9	580,3	151,7	2,633	76,96	149,1	147,5	6,012	320,9	59,99	0,4231	6,973e+005	8741	-6463	1,212e+004	-7784	3,180	90,49	581,1	340,1	15,15
6	4,504e+004	1,282e+005	397,3	596,1	198,8	360,4	582,9	152,6	5,123	77,86	147,4	150,2	5,827	322,6	66,85	0,3781	8,693e+004	8707	-6771	1,401e+004	-8978	6,142	91,40	594,4	325,9	15,08
7	3,943e+004	1,179e+005	365,6	634,3	268,7	363,1	569,3	152,0	2,531	77,71	149,5	147,5	7,496	322,6	62,89	0,4033	7,604e+005	8693	-6436	1,188e+004	-7572	3,105	96,88	581,3	333,1	14,96
8	4,224e+004	1,194e+005	372,2	600,5	228,3	367,7	576,4	152,1	5,116	77,10	147,0	150,1	5,273	320,9	62,90	0,4032	2,455e+005	8707	-6682	1,300e+004	-8086	5,896	93,51	591,7	330,6	15,27
9	3,956e+004	1,245e+005	386,0	646,3	260,3	361,8	556,2	152,3	3,153	77,82	149,1	150,3	8,030	322,6	66,88	0,3894	9,524e+005	8679	-6600	1,393e+004	-8648	3,892	93,77	577,2	333,2	14,85
10	3,826e+004	1,049e+005	325,3	591,9	266,6	353,3	561,0	151,5	2,770	76,57	148,7	148,7	5,567	322,6	55,64	0,4570	1,997e+005	8727	-6586	1,293e+004	-5927	3,796	91,51	584,7	335,8	14,73
11	4,573e+004	1,412e+005	437,8	619,1	181,3	354,0	585,6	152,9	4,808	77,85	148,1	148,5	6,333	322,6	76,01	0,3392	5,836e+005	8748	-6874	1,436e+004	-9569	5,184	97,11	576,0	309,2	14,95
12	3,972e+004	1,068e+005	331,0	608,6	277,6	360,3	551,2	152,3	2,681	77,82	149,6	149,7	6,757	322,6	55,15	0,4523	1,794e+005	8775	-6368	1,218e+004	-5974	3,707	98,02	600,1	340,1	15,31
13	4,059e+004	1,210e+005	377,2	600,2	223,0	359,1	592,8	152,6	5,082	77,44	147,5	148,6	5,355	320,9	67,62	0,3939	6,194e+005	8734	-6641	1,407e+004	-7677	5,759	93,17	557,8	321,7	15,25
14	3,804e+004	1,243e+005	383,2	640,7	257,5	363,9	547,7	152,4	2,537	78,14	149,9	148,8	8,098	324,3	66,49	0,3882	8,954e+005	8748	-6586	1,248e+004	-8193	3,030	95,30	576,3	343,6	14,79
15	4,039e+004	1,118e+005	346,6	594,0	247,4	366,5	581,7	152,2	4,815	77,34	147,3	151,1	5,348	322,6	59,06	0,4360	1,894e+005	8700	-6580	1,460e+004	-7283	6,005	96,18	586,9	337,8	15,13
16	3,967e+004	1,250e+005	387,6	636,6	249,0	366,0	575,6	152,5	2,592	77,63	149,9	148,6	7,824	322,6	68,03	0,3834	9,746e+005	8693	-6641	1,367e+004	-7496	3,262	90,09	569,7	332,7	14,72
17	3,798e+004	1,083e+005	335,7	603,3	267,6	355,5	571,1	151,7	3,789	76,83	148,0	149,6	5,191	322,6	57,34	0,4455	3,278e+005	8755	-6593	1,102e+004	-5948	5,198	90,36	585,6	341,5	14,98
18	4,517e+004	1,354e+005	417,5	613,8	196,3	359,1	581,0	153,2	3,433	78,27	149,8	148,6	7,291	324,3	72,43	0,3559	5,231e+005	8734	-6812	1,466e+004	-9939	3,933	99,72	576,4	319,4	14,71
19	3,893e+004	1,084e+005	336,1	617,8	281,7	366,1	551,7	152,0	2,626	77,01	149,4	150,1	5,889	322,6	55,35	0,4466	1,794e+005	8755	-6545	1,122e+004	-5691	3,878	89,90	607,3	346,0	15,19
20	4,462e+004	1,299e+005	402,6	597,8	195,2	371,8	571,7	152,7	5,041	77,31	147,6	151,5	5,513	322,6	68,56	0,3762	1,644e+005	8741	-7045	1,317e+004	-9729	5,793	95,94	587,3	329,8	14,87
21	3,849e+004	1,175e+005	362,3	627,4	265,1	352,9	565,2	152,2	2,797	77,68	149,4	147,6	7,530	324,3	63,34	0,4073	7,710e+005	8741	-6648	1,192e+004	-8852	3,208	94,16	572,0	326,1	14,99
22	3,885e+004	1,089e+005	335,7	588,1	252,4	356,4	561,2	151,4	3,974	76,74	147,4	149,9	5,376	324,3	57,27	0,4466	9,455e+004	8734	-6764	1,188e+004	-5856	5,403	96,57	586,2	332,0	14,73
23	4,323e+004	1,314e+005	405,2	616,3	211,0	368,7	567,9	152,8	3,085	77,53	149,7	149,9	7,270	324,3	72,15	0,3698	7,490e+005	8727	-6922	1,384e+004	-9066	3,570	95,78	561,7	311,6	14,39
24	3,730e+004	1,057e+005	327,8	602,2	274,4	358,8	564,8	151,3	2,667	76,32	148,6	149,2	5,431	322,6	56,42	0,4551	3,499e+005	8748	-6545	1,309e+004	-6347	3,604	87,00	581,0	337,0	14,84
25	4,492e+004	1,379e+005	425,3	598,0	172,7	352,7	569,9	152,6	4,801	77,71	147,8	150,9	6,333	324,3	72,96	0,3549	2,441e+005	8720	-7058	1,356e+004	-1,090e+004	5,321	96,68	582,9	325,2	14,73
26	3,767e+004	1,054e+005	326,7	610,7	283,9	360,3	557,3	152,1	2,606	77,00	149,5	149,2	6,935	322,6	56,46	0,4567	4,292e+005	8761	-6593	1,143e+004	-7763	3,392	97,95	578,7	332,8	14,90
27	3,813e+004	1,149e+005	354,4	597,9	243,5	359,6	565,6	151,4	4,432	76,85	147,0	149,0	5,355	324,3	61,76	0,4205	4,137e+005	8741	-6689	1,099e+004	-6017	5,157	93,63	573,8	335,6	14,99
28	4,187e+004	1,273e+005	392,5	617,2	224,7	360,7	553,5	152,4	2,763	77,26	149,6	150,4	7,428	324,3	70,11	0,3831	8,408e+005	8720	-6969	1,473e+004	-8541	3,440	90,06	559,9	320,8	14,31
29	3,628e+004	1,069e+005	331,5	606,1	274,7	355,5	564,6	151,0	2,319	75,65	148,7	147,2	5,369	322,6	57,51	0,4439	4,921e+005	8768	-6730	1,186e+004	-6917	2,907	97,72	576,4	333,4	14,50
30	4,339e+004	1,301e+005	401,1	588,5	187,4	362,7	568,1	151,7	4,890	76,60	146,8	150,9	5,431	324,3	70,06	0,3763	2,513e+005	8713	-7045	1,408e+004	-1,023e+004	5,841	91,38	572,5	318,6	14,59

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
