	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	4,639e+004	1,270e+005	412,6	873,6	461,0	474,0	673,7	128,4	-1,231	67,63	129,7	125,3	-0,2394	307,7	47,91	0,3037	2,533e+005	7341	-6239	1,541e+004	-1,188e+004	0,7594	76,06	861,2	461,0	13,81
2	4,813e+004	1,409e+005	441,4	902,4	461,0	472,0	778,3	127,1	-0,5268	69,37	127,7	124,8	1,656	319,1	50,62	0,2827	3,560e+005	7252	-6561	1,286e+004	-1,625e+004	1,656	77,14	872,1	462,1	13,49
3	4,965e+004	1,404e+005	439,9	877,7	437,9	442,6	770,2	130,8	2,942	73,41	127,8	127,3	2,942	319,1	51,06	0,2894	1,152e+006	7437	-6520	1,677e+004	-1,294e+004	4,816	80,93	861,4	442,9	15,21
4	4,597e+004	1,433e+005	429,9	866,3	436,4	464,9	805,3	132,3	3,215	78,29	129,1	131,3	6,404	333,3	52,09	0,3054	1,190e+006	7553	-5836	1,362e+004	-1,317e+004	4,194	91,65	825,3	436,9	16,07
5	4,962e+004	1,407e+005	445,6	877,4	431,8	441,7	685,9	132,9	1,875	74,31	131,0	129,0	4,385	315,8	50,82	0,2895	2,755e+005	7594	-5760	1,587e+004	-1,190e+004	2,258	89,47	876,8	440,4	16,15
6	4,292e+004	1,252e+005	390,1	844,6	454,4	466,3	710,6	129,7	-1,149	71,79	130,9	128,2	2,634	320,9	47,34	0,3287	3,995e+005	7519	-5938	1,405e+004	-1,328e+004	2,634	83,44	824,2	454,6	14,46
7	4,544e+004	1,228e+005	399,3	841,2	441,9	453,6	653,6	127,5	-1,532	66,71	129,0	124,1	-0,02737	307,7	47,48	0,3109	2,066e+005	7286	-6431	1,412e+004	-1,036e+004	1,040	79,52	841,0	447,7	13,48
8	4,558e+004	1,411e+005	444,5	905,3	460,8	474,8	770,1	126,6	1,314	69,23	125,3	124,4	1,314	317,5	52,11	0,2799	7,099e+005	7231	-6691	1,574e+004	-1,356e+004	4,584	80,58	853,0	461,2	14,24
9	5,413e+004	1,658e+005	516,8	955,6	438,8	453,2	786,1	131,2	3,174	74,63	128,0	128,7	5,808	320,9	56,22	0,2489	5,173e+005	7484	-6178	1,601e+004	-1,418e+004	4,823	88,07	919,3	439,8	15,47
10	4,498e+004	1,406e+005	438,3	870,7	432,3	444,8	790,3	132,4	2,990	75,39	129,4	127,8	6,157	320,9	53,72	0,2915	1,675e+006	7567	-5706	1,515e+004	-2,015e+004	5,439	90,49	815,9	436,8	16,21
11	5,018e+004	1,440e+005	436,7	875,1	438,4	448,9	772,9	132,4	-0,4378	76,29	132,9	130,2	5,890	329,7	50,77	0,2982	1,219e+005	7594	-5904	1,484e+004	-1,125e+004	5,890	92,59	860,3	438,9	15,08
12	4,338e+004	1,207e+005	384,1	840,5	456,4	476,7	684,8	129,2	-1,320	69,70	130,5	126,2	0,5473	314,1	45,76	0,3287	1,967e+005	7430	-6014	1,405e+004	-1,167e+004	0,5473	85,60	839,4	457,6	14,22
13	4,821e+004	1,290e+005	415,1	874,7	459,6	464,4	712,3	128,3	-0,9510	68,26	129,3	126,2	0,3968	310,9	48,50	0,3040	2,557e+005	7286	-6445	1,342e+004	-1,216e+004	0,8004	82,36	855,8	464,0	13,69
14	5,349e+004	1,552e+005	488,8	918,1	429,3	438,2	790,8	130,5	1,724	72,24	128,8	126,1	1,724	317,5	54,14	0,2580	3,327e+005	7348	-6540	1,521e+004	-1,509e+004	5,179	80,66	902,9	430,9	15,17
15	5,223e+004	1,529e+005	461,1	906,2	445,1	448,9	799,9	133,2	3,195	78,85	130,0	132,0	6,520	331,5	50,88	0,2862	3,502e+005	7614	-5801	1,332e+004	-1,530e+004	4,235	86,38	906,2	445,7	16,07
16	4,790e+004	1,492e+005	465,1	898,7	433,6	444,3	694,4	133,9	2,791	76,26	131,1	129,8	4,550	320,9	53,27	0,2791	6,239e+005	7560	-5685	1,500e+004	-1,449e+004	3,571	91,19	873,1	437,1	16,45
17	4,361e+004	1,216e+005	381,1	841,3	460,2	481,2	692,4	131,2	-1,532	72,98	132,8	130,2	3,687	319,1	45,73	0,3415	2,117e+005	7539	-5890	1,661e+004	-1,356e+004	4,002	82,12	833,4	460,8	14,82
18	4,687e+004	1,230e+005	399,6	852,9	453,3	466,1	677,7	128,8	-1,608	67,80	130,4	125,4	-0,3284	307,7	47,19	0,3137	9,946e+004	7266	-6383	1,437e+004	-9839	0,3147	81,47	846,8	455,6	13,90

