	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,432e+004	9,824e+004	384,8	706,4	321,6	325,4	515,3	83,66	-34,06	26,00	117,7	82,70	-33,08	255,3	66,70	0,2149	8,203e+004	4094	-3711	1,224e+004	-5223	-31,05	35,71	576,8	330,3	12,74
2	5,073e+004	1,226e+005	488,2	774,9	286,8	313,4	710,6	87,97	-40,75	28,12	128,7	87,08	-29,23	251,0	65,29	0,1784	2,357e+005	4945	-3969	7495	-1,494e+004	-39,85	42,94	747,6	291,0	12,42
3	2,229e+004	7,757e+004	305,1	617,3	312,1	319,0	480,0	77,07	-41,11	18,49	118,2	76,06	-37,73	254,2	57,70	0,2493	4,442e+004	3836	-3711	1,146e+004	-5408	-36,23	27,81	528,8	315,3	10,89
4	4,225e+004	1,141e+005	458,3	746,0	287,7	348,3	625,5	88,49	-35,13	28,37	123,6	86,59	-34,66	249,0	66,18	0,1890	3,649e+005	4930	-4359	1,210e+004	-9643	-33,02	38,63	692,5	331,1	11,72
5	3,755e+004	9,903e+004	392,8	733,8	341,0	347,2	662,0	77,39	-41,49	19,97	118,9	75,38	-31,69	252,1	56,85	0,1919	2,151e+005	3969	-3383	9060	-9593	-37,65	32,36	691,0	350,2	11,96
6	4,465e+004	1,071e+005	426,4	715,0	288,6	305,9	647,2	86,81	-36,60	27,33	123,4	83,67	-36,60	251,0	62,52	0,1962	1,888e+005	4891	-4430	9601	-9758	-34,55	37,01	682,1	293,3	11,68
7	2,915e+004	9,386e+004	373,9	735,4	361,6	413,4	561,3	82,78	-34,05	24,41	116,8	81,77	-31,99	251,0	58,29	0,2187	1,912e+005	3969	-3758	1,169e+004	-6788	-33,35	32,97	641,4	394,8	12,12
8	5,696e+004	1,497e+005	598,7	889,7	291,0	305,2	738,6	88,06	-37,08	29,00	125,1	84,39	-30,23	250,0	73,95	0,1410	5,831e+005	4883	-3695	8851	-1,513e+004	64,58	48,41	809,6	293,9	13,17
9	2,823e+004	7,968e+004	316,1	640,8	324,7	328,6	537,4	80,84	-36,66	22,26	117,5	80,21	-33,93	252,1	52,99	0,2538	3,080e+004	3969	-3719	1,059e+004	-6292	-35,12	37,28	596,4	326,4	12,30
10	4,736e+004	1,103e+005	441,3	726,7	285,3	309,6	645,6	87,92	-36,66	27,84	124,6	85,29	-32,20	250,0	61,67	0,1932	1,244e+005	4820	-4164	1,050e+004	-9591	-36,06	38,36	715,7	292,8	11,97
