	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	8207	5,018e+004	265,1	301,8	36,67	77,26	138,1	72,33	11,90	31,03	60,43	49,35	16,63	189,3	148,5	0,1862	2,840e+005	1813	-1218	5792	-6141	41,80	30,18	178,5	56,38	44,85
2	8153	6,199e+004	332,7	377,3	44,58	104,4	112,6	72,82	12,77	31,88	60,05	55,39	14,33	186,3	160,6	0,1665	5,525e+005	1861	-1225	9645	-6845	55,81	40,10	207,2	66,97	43,44
3	8572	5,254e+004	276,7	310,6	33,87	75,02	142,5	73,57	11,96	31,45	61,61	46,44	16,44	189,9	159,9	0,1678	3,726e+005	1827	-1211	7434	-5425	47,25	30,15	173,1	65,41	44,59
4	7562	5,331e+004	283,4	327,9	44,44	90,89	111,2	72,49	12,47	31,70	60,02	48,49	14,18	188,1	135,2	0,1711	4,258e+005	1847	-1231	8834	-6052	45,93	40,56	209,6	68,42	40,94
5	8241	5,152e+004	273,9	308,6	34,70	76,56	134,9	73,76	12,08	31,33	61,69	48,65	16,23	188,1	160,1	0,1776	2,969e+005	1820	-1238	6249	-5687	45,24	29,90	171,1	55,41	47,78
6	7096	5,366e+004	284,4	329,9	45,53	94,61	110,2	72,57	12,14	31,59	60,43	53,01	14,05	188,7	147,5	0,1864	3,937e+005	1868	-1218	7119	-6351	48,88	39,91	192,8	66,26	39,55
7	7608	5,077e+004	267,4	303,3	35,89	87,61	125,0	73,44	12,17	31,51	61,26	53,53	15,91	189,9	164,4	0,2002	3,779e+005	1854	-1218	7050	-4861	51,21	30,83	162,6	54,72	47,48
8	6360	4,830e+004	257,6	302,9	45,29	103,8	108,9	72,05	11,84	31,09	60,22	56,67	13,83	187,5	174,0	0,2200	4,133e+005	1820	-1184	7487	-4438	55,18	29,55	148,1	66,42	43,31
9	7565	4,849e+004	260,2	295,8	35,59	78,35	119,2	73,40	12,28	31,34	61,12	48,05	15,75	186,3	168,6	0,1847	3,757e+005	1861	-1218	7462	-4679	44,41	29,12	154,3	57,51	48,61
10	6300	4,699e+004	250,6	295,1	44,49	91,43	108,7	72,30	11,73	31,09	60,57	52,79	13,86	187,5	171,7	0,2106	3,448e+005	1854	-1266	6615	-5423	47,81	28,59	145,9	66,42	40,63
11	7461	5,115e+004	272,8	311,7	38,92	88,08	115,2	73,35	12,45	31,60	60,90	52,75	15,58	187,5	179,0	0,1934	4,786e+005	1861	-1163	8777	-4664	54,53	28,99	152,4	67,37	40,39
12	6286	4,317e+004	229,5	274,1	44,61	88,40	113,6	72,07	11,62	30,95	60,44	50,79	13,83	188,1	124,3	0,2213	3,317e+005	1813	-1156	6649	-4754	43,96	40,47	184,6	66,58	40,91

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	7451	5,101e+004	271,2	311,6	40,38	88,03	120,0	72,85	12,12	31,38	60,73	51,33	15,05	188,1	157,8	0,1905	3,873e+005	1841	-1212	7426	-5443	48,50	33,19	173,4	63,16	43,54
Min	6286	4,317e+004	229,5	274,1	33,87	75,02	108,7	72,05	11,62	30,95	60,02	46,44	13,83	186,3	124,3	0,1665	2,840e+005	1813	-1266	5792	-6845	41,80	28,59	145,9	54,72	39,55
Max	8572	6,199e+004	332,7	377,3	45,53	104,4	142,5	73,76	12,77	31,88	61,69	56,67	16,63	189,9	179,0	0,2213	5,525e+005	1868	-1156	9645	-4438	55,81	40,56	209,6	68,42	48,61
Count	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
