	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	1,389e+004	1,065e+005	578,4	630,0	51,51	132,2	183,3	76,85	15,22	34,10	61,63	53,68	18,06	184,0	203,4	0,09281	1,010e+006	1902	-1211	1,464e+004	-1,407e+004	68,09	32,52	284,4	89,62	49,21
2	1,369e+004	1,027e+005	551,0	601,2	50,15	109,8	190,7	76,92	15,22	34,35	61,70	44,84	18,12	186,3	207,5	0,08137	1,056e+006	1916	-1231	1,748e+004	-1,397e+004	60,21	32,71	265,6	90,64	50,15
3	1,379e+004	1,082e+005	580,6	634,8	54,19	112,9	186,4	76,51	15,23	34,23	61,28	44,09	18,02	186,3	222,2	0,07593	9,114e+005	1861	-1211	1,610e+004	-1,472e+004	50,74	31,42	261,3	91,67	48,59
4	1,298e+004	1,060e+005	572,5	630,0	57,55	130,4	183,6	76,49	15,27	34,12	61,22	51,15	18,04	185,2	202,2	0,08934	9,367e+005	1854	-1245	1,310e+004	-1,134e+004	71,49	33,40	283,1	97,64	48,06
5	1,339e+004	9,696e+004	523,6	581,0	57,46	121,5	192,0	76,61	15,28	34,17	61,33	49,72	18,16	185,2	187,0	0,09496	6,589e+005	1861	-1218	1,518e+004	-1,328e+004	41,16	32,74	280,0	98,86	50,26

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	1,355e+004	1,041e+005	561,2	615,4	54,17	121,4	187,2	76,68	15,24	34,19	61,43	48,69	18,08	185,4	204,5	0,08688	9,147e+005	1879	-1223	1,530e+004	-1,347e+004	58,34	32,56	274,9	93,69	49,26
Min	1,298e+004	9,696e+004	523,6	581,0	50,15	109,8	183,3	76,49	15,22	34,10	61,22	44,09	18,02	184,0	187,0	0,07593	6,589e+005	1854	-1245	1,310e+004	-1,472e+004	41,16	31,42	261,3	89,62	48,06
Max	1,389e+004	1,082e+005	580,6	634,8	57,55	132,2	192,0	76,92	15,28	34,35	61,70	53,68	18,16	186,3	222,2	0,09496	1,056e+006	1916	-1211	1,748e+004	-1,134e+004	71,49	33,40	284,4	98,86	50,26
Count	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
